LICENCE_CERN;3;"B1 B3 B1000";
LOGO;2;"B2 B4";
LOGO;1;"B1001";~
22pF;5;"C27 C28 C31 C47 C48";
10nF;4;"C3 C6 C18 C68";
10nF;34;"C15 C16 C20 C54 C55 C56 C57 C58 C59 C60 C61 C62 C63 C64 C65 C66 C67 C69 C70 C72 C73 C74 C75 C76 C77 C78 C79 C80 C81 C82 C83 C84 C85 C86";~
100nF;31;"C7 C8 C9 C10 C11 C14 C17 C21 C24 C25 C26 C29 C30 C32 C33 C34 C35 C36 C38 C39 C40 C41 C42 C43 C44 C46 C49 C50 C51 C87 C89";
1uF;2;"C1 C2";
10uF;8;"C4 C12 C19 C23 C37 C45 C52 C53";
22uF;5;"C5 C13 C22 C71 C88";
3.3V TVS;1;"D2";
TVS 12V;1;"D1";
LED_RGB;7;"D3 D6 D7 D8 D9 D11 D12";
MBRS340T3G;2;"D4 D19";
LED;2;"D5 D10";
TVS_BIDIR;6;"D13 D14 D15 D16 D17 D18";~
FILTER;4;"FB1 FB2 FB3 FB4";~
JTAG_CONNEC;1;"J1";
DM3D-SF(AS);1;"J2";~
2.2uH;2;"L1 L2";
CONN_8;1;"P1";
FDD8780;2;"Q2 Q3";
MOS_P;1;"Q1";~
0.03;1;"R9";
10;2;"R2 R3";
12.4;2;"R66 R91";~
19;2;"R73 R100";~
39;2;"R23 R24";
50;4;"R69 R70 R92 R93";~
62;4;"R76 R77 R94 R95";~
100;3;"R12 R26 R43";
220;7;"R37 R44 R46 R48 R50 R57 R59";
249;6;"R63 R64 R65 R86 R87 R90";~
270;1;"R10";
680;14;"R36 R38 R39 R40 R41 R42 R45 R47 R49 R51 R55 R56 R58 R60";
1k;12;"R5 R62 R67 R68 R75 R79 R81 R82 R84 R89 R96 R97";~
2k;2;"R4 R8";
3k;7;"R72 R74 R78 R80 R83 R85 R99";~
6k8;2;"R14 R25";
10k;9;"R1 R6 R15 R16 R27 R28 R29 R34 R35";
10k;2;"R71 R98";~
12k;1;"R13";
12k;2;"R61 R88";~
15k8;1;"R54";
23.4k;1;"R102";
47k;4;"R30 R31 R32 R33";
49k9;1;"R53";
49.9k;1;"R101";
100k;7;"R17 R18 R19 R20 R21 R22 R52";
120k;1;"R11";
390k;1;"R7";
MAX5924D;1;"U1";
MAX5925D;1;"U2";
24LC64;1;"U3";
USBLC6-2;1;"U4";
TPS7A4901;1;"U5";
SN74LVC2G240DCTR;1;"U8";
2-1825027-0;1;"U10";
RLP1-600-800;7;"U11 U17 U18 U19 U20 U21 U23";
TE-5650478-5;1;"U12";
TROU_FIX;2;"U15 U16";
CONNEC_QMA_ANO_2622-4035;6;"U22 U24 U25 U26 U27 U28";
CARD_BORDER;4;"U51 U52 U53 U54";
AOZ1280;2;"U6 U36";~
SAM3X8E;1;"U7";~
SN65LVDM176DGK;1;"U9";~
MAX9032AKA;2;"U13 U32";~
NB4L52;2;"U14 U33";~
NB6L11M;2;"U29 U35";~
SY89851U;2;"U30 U34";~
SY89297U;1;"U31";~
32.768KHz;1;"X2";
12MHz;1;"X1";
