"Id";"Référence";"Boitier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"U1";"AU-Y1007-R";1;"USB_CONNEC";;;
2;"U11,U18";"TI-SOIC-16";2;"TPS2044BDR";;;
3;"D5,D6,D4,D3,D2";"TVS_SMLVT";5;"3.3V TVS";;;
4;"D1";"TVS_SMAJ";1;"12V TVS";;;
5;"U20,U24,U23,U21,U13,U14,U16,U17,U15,U22";"SOT23_6";10;"USBLC6-2";;;
6;"C1,C10,C11";"SM1210";3;"47uF";;;
7;"C42,C35,C40,C44,C19,C24,C26,C3,C28,C53";"SM1206";10;"100uF";;;
8;"R7,R26,R25,R29,R20,R27,R17,R21,R16,R30,R28,R15,R24,R23,R22,R10,R8,R9,R11,R12,R13,R14";"SM0603_Resistor";22;"15k";;;
9;"R6,R31,R18,R19";"SM0603_Resistor";4;"100k";;;
10;"R3,R2,R4,R5,R1,R37,R47,R46";"SM0603_Resistor";8;"2k";;;
11;"R32";"SM0603_Resistor";1;"100";;;
12;"C6,C63";"SM0603_Capa";2;"1uF";;;
13;"C30,C9,C7,C31,C38,C37,C5,C15,C14,C13,C12,C22,C21,C23,C2,C4,C47,C46,C50,C39,C48,C51,C52,C56,C57,C67,C66,C65,C64,C55,C62,C60,C61";"SM0603_Capa";33;"100nF";;;
14;"C8,C43,C36,C45,C20,C41,C25,C27,C29";"SM0603_Capa";9;"10nF";;;
15;"C34,C33,C18,C17";"SM0603_Capa";4;"12pF";;;
16;"C32,C16";"SM0603_Capa";2;"2.2uF";;;
17;"D7";"SCHOTTKY_MBRS340";1;"MBRS340T3G";;;
18;"U4";"R-535.0PA";1;"R-535.0PA";;;
19;"U5";"QSOP-16";1;"MAX1685";;;
20;"X1,X2";"NX3225SA";2;"24MHz";;;
21;"U10";"MSOP_8";1;"SN65LVDM176DGK";;;
22;"U9";"FOX924B";1;"FOX924B";;;
23;"L1";"CHOKE_DR1050";1;"10uH";;;
24;"U6,U8,U7,U3,U2";"8-1393640-3";5;"TE-8-1393640-3";;;
25;"J1";"MOLEX_0015244745";1;"MOLEX_0015244745";;;
26;"J2";"TE_292303-1";1;"USB_CONNEC";;;
27;"J1011,J1020,J1019,J1018,J1017,J1016,J1015,J1014,J1013,J1012,J1001,J1010,J1009,J1008,J1007,J1006,J1005,J1004,J1003,J1002";"hole_bp";20;"HOLE_BP";;;
28;"U28";"TQFP44";1;"ATMEGA32U4";;;
29;"P1";"TE-440054-8";1;"CONN_8";;;
30;"U27";"SOT23_6";1;"LM73-0";;;
31;"U26";"SOT223";1;"NCP1117";;;
32;"U29";"SO8E";1;"ACS713";;;
33;"C54,C49";"SM0805";2;"10uF";;;
34;"FB1";"SM0805";1;"FILTER";;;
35;"R35,R50,R42,R43";"SM0603_Resistor";4;"30k";;;
36;"R51,R36,R38,R39,R48,R49";"SM0603_Resistor";6;"10k";;;
37;"R40,R41,R33";"SM0603_Resistor";3;"4k7";;;
38;"D8,D10,D9";"SM0603_Resistor";3;"LED";;;
39;"R45,R44";"SM0603_Resistor";2;"22";;;
40;"R34";"SM0603_Resistor";1;"14k";;;
41;"C58,C59";"SM0603_Capa";2;"18pF";;;
42;"K1";"PAD_BL";1;"CONN_3";;;
43;"X3";"NX3225SA";1;"16MHz";;;
44;"J1022,J1021";"exposed_rack";2;"SLIDER";;;
45;"U25";"cubieboard";1;"CUBIEBOARD";;;
46;"U19,U12";"qfn_56_0.5";2;"CY7C65631-56LTXC";;;
